k_s,cv_s,rmse_out
1.5,1000000.0,1.9230558299957488
1.875,1000000.0,0.8067289594723107
2.25,1000000.0,0.33685056535552843
2.625,1000000.0,0.6862840272960765
3.0,1000000.0,1.073054397807329
1.5,1500000.0,1.5887910932950748
1.875,1500000.0,0.46444502589359327
2.25,1500000.0,0.32785916160421186
2.625,1500000.0,0.8678340081641701
3.0,1500000.0,1.2799617032262183
1.5,2000000.0,1.3884899274691764
1.875,2000000.0,0.28688842328840625
2.25,2000000.0,0.4618810417661305
2.625,2000000.0,1.0025255985327974
3.0,2000000.0,1.4111171591250218
1.5,2500000.0,1.235792596147707
1.875,2500000.0,0.17228450465476458
2.25,2500000.0,0.5701688087113329
2.625,2500000.0,1.0997855288778562
3.0,2500000.0,1.5019416168721789
1.5,3000000.0,1.1076548226813048
1.875,3000000.0,0.10127830992147174
2.25,3000000.0,0.6561507746341763
2.625,3000000.0,1.1748098288426736
3.0,3000000.0,1.5705049534873872
