param,value,rmse_out
T_s,10.0,2.0407915112061805
T_s,11.0,1.0830353223562286
T_s,12.0,0.4255596629514033
T_s,13.0,1.0905212258325665
T_s,14.0,2.0487489014643585
T_s,15.0,3.034057939214653
k_s,1.5,0.9501672104836614
k_s,1.8,0.11089052676696262
k_s,2.1,0.619787234719326
k_s,2.4,1.1140530271658962
k_s,2.7,1.5040177659946472
k_s,3.0,1.8184013374928225
cv_s,1000000.0,0.4003642376411098
cv_s,1400000.0,0.24148589148381924
cv_s,1800000.0,0.3067764356072437
cv_s,2200000.0,0.40336303253952593
cv_s,2600000.0,0.48910466684640824
cv_s,3000000.0,0.5645503787269627
k_g,0.8,0.22287854432124193
k_g,1.04,0.11244925901285811
k_g,1.28,0.3033926425950689
k_g,1.52,0.43485698596213007
k_g,1.76,0.5293147746925725
k_g,2.0,0.6001767291856457
